Date,Country,Region,Total_Tickets,P1_Tickets,P2_Tickets,Open_Tickets,Closed_Tickets,Response_SLA_Breaches,Resolution_SLA_Breaches,Avg_Response_Time_Hrs,Avg_Resolution_Time_Hrs
2021-01-01,Australia,APAC,19,1,3,11,8,3,5,5.26,39.89
2021-01-01,Germany,EU,24,2,2,17,7,7,3,6.0,37.62
2021-01-01,India,APAC,23,3,8,13,10,12,6,6.74,56.1
2021-01-01,Singapore,APAC,19,3,4,14,5,6,4,5.63,58.0
2021-01-01,UK,EU,6,0,2,3,3,1,2,5.17,43.33
2021-01-02,Australia,APAC,10,0,3,4,6,1,6,5.7,80.43
2021-01-02,Germany,EU,16,1,3,10,6,7,3,6.56,40.83
2021-01-02,India,APAC,29,2,6,21,8,10,7,6.1,63.11
2021-01-02,Singapore,APAC,22,1,2,12,10,10,7,6.45,56.83
2021-01-02,UK,EU,7,0,2,4,3,2,2,5.0,30.25
2021-01-03,Australia,APAC,14,1,5,6,8,5,5,6.0,66.12
2021-01-03,Germany,EU,23,1,2,12,11,4,9,4.96,58.42
2021-01-03,India,APAC,31,3,3,21,10,8,11,5.26,65.08
2021-01-03,Singapore,APAC,20,1,3,7,13,5,7,6.35,60.31
2021-01-03,UK,EU,6,0,0,4,2,1,1,4.67,43.0
2021-01-04,Australia,APAC,15,3,5,7,8,4,5,5.07,60.25
2021-01-04,Germany,EU,12,0,1,9,3,3,3,5.42,48.86
2021-01-04,India,APAC,29,1,9,13,16,10,13,4.93,61.75
2021-01-04,Singapore,APAC,17,4,3,12,5,9,4,5.29,69.8
2021-01-04,UK,EU,10,1,1,5,5,3,4,5.1,50.8
2021-01-05,Australia,APAC,16,1,3,11,5,9,4,7.0,63.6
2021-01-05,Germany,EU,21,2,5,14,7,6,5,5.33,49.25
2021-01-05,India,APAC,31,4,3,21,10,8,10,4.94,53.27
2021-01-05,Singapore,APAC,21,0,7,11,10,7,7,5.9,49.5
2021-01-05,UK,EU,6,2,2,4,2,4,2,6.17,87.0
2021-01-06,Australia,APAC,17,0,3,8,9,5,8,5.88,61.0
2021-01-06,Germany,EU,19,4,4,12,7,9,8,6.26,56.56
2021-01-06,India,APAC,25,0,7,12,13,8,9,5.24,61.54
2021-01-06,Singapore,APAC,15,0,6,11,4,6,4,6.2,73.2
2021-01-06,UK,EU,6,0,2,3,3,0,2,3.83,50.67
2021-01-07,Australia,APAC,20,1,1,9,11,4,9,6.35,62.92
2021-01-07,Germany,EU,22,2,5,12,10,7,10,4.64,54.08
2021-01-07,India,APAC,27,0,5,16,11,9,8,6.26,51.83
2021-01-07,Singapore,APAC,28,1,5,14,14,6,9,4.54,69.71
2021-01-07,UK,EU,5,1,0,4,1,1,1,7.6,110.0
2021-01-08,Australia,APAC,21,1,6,11,10,7,10,5.95,76.45
2021-01-08,Germany,EU,29,3,7,23,6,10,5,6.03,59.86
2021-01-08,India,APAC,21,2,4,12,9,7,6,5.43,53.89
2021-01-08,Singapore,APAC,22,4,5,14,8,11,7,6.0,56.82
2021-01-08,UK,EU,2,0,1,2,0,0,0,4.5,
2021-01-09,Australia,APAC,17,0,1,10,7,6,4,6.0,73.43
2021-01-09,Germany,EU,18,2,5,9,9,9,9,6.06,67.3
2021-01-09,India,APAC,30,4,4,18,12,7,9,4.93,45.0
2021-01-09,Singapore,APAC,21,2,6,11,10,11,8,7.24,57.73
2021-01-09,UK,EU,14,1,2,11,3,6,3,7.29,56.75
2021-01-10,Australia,APAC,20,3,2,12,8,4,7,4.75,58.6
2021-01-10,Germany,EU,21,2,4,13,8,10,5,5.38,52.75
2021-01-10,India,APAC,39,3,4,23,16,8,10,4.85,65.06
2021-01-10,Singapore,APAC,20,4,4,12,8,6,9,5.3,69.0
2021-01-10,UK,EU,4,0,0,3,1,0,1,6.25,31.0
2021-01-11,Australia,APAC,17,2,6,9,8,5,7,5.24,82.78
2021-01-11,Germany,EU,21,3,6,13,8,8,7,6.14,33.33
2021-01-11,India,APAC,29,3,7,16,13,9,11,5.9,69.57
2021-01-11,Singapore,APAC,14,1,2,7,7,3,6,5.93,75.29
2021-01-11,UK,EU,7,0,3,7,0,1,0,3.57,
2021-01-12,Australia,APAC,20,0,9,11,9,4,10,4.9,66.36
2021-01-12,Germany,EU,18,3,2,13,5,7,7,6.0,76.75
2021-01-12,India,APAC,34,4,7,18,16,11,12,5.32,69.06
2021-01-12,Singapore,APAC,23,1,5,15,8,3,6,5.13,49.67
2021-01-12,UK,EU,8,0,0,7,1,1,1,4.75,83.0
2021-01-13,Australia,APAC,16,0,8,10,6,7,7,5.81,95.14
2021-01-13,Germany,EU,17,4,3,11,6,8,5,6.0,54.33
2021-01-13,India,APAC,35,2,8,25,10,8,12,4.54,83.42
2021-01-13,Singapore,APAC,26,1,5,19,7,8,6,5.73,49.25
2021-01-13,UK,EU,6,0,1,2,4,2,3,4.83,71.25
2021-01-14,Australia,APAC,16,0,2,9,7,5,7,6.25,65.38
2021-01-14,Germany,EU,21,2,4,11,10,5,9,4.71,70.36
2021-01-14,India,APAC,23,0,5,14,9,7,4,6.7,56.82
2021-01-14,Singapore,APAC,18,4,4,12,6,8,6,5.56,72.57
2021-01-14,UK,EU,4,0,1,4,0,2,1,6.25,90.0
2021-01-15,Australia,APAC,16,1,5,9,7,7,7,5.5,62.56
2021-01-15,Germany,EU,14,0,3,8,6,3,3,5.14,41.67
2021-01-15,India,APAC,21,3,2,13,8,8,6,5.57,59.75
2021-01-15,Singapore,APAC,17,0,2,10,7,1,5,4.41,68.86
2021-01-15,UK,EU,5,0,1,3,2,1,2,5.8,64.5
2021-01-16,Australia,APAC,13,0,4,11,2,4,0,6.0,14.5
2021-01-16,Germany,EU,22,1,2,13,9,2,6,4.59,51.7
2021-01-16,India,APAC,31,1,5,17,14,9,10,5.16,51.44
2021-01-16,Singapore,APAC,12,1,2,5,7,3,5,5.58,63.25
2021-01-16,UK,EU,6,0,1,3,3,1,1,6.17,34.33
2021-01-17,Australia,APAC,16,2,5,10,6,4,6,5.62,67.17
2021-01-17,Germany,EU,17,0,5,11,6,5,2,4.76,50.83
2021-01-17,India,APAC,20,0,5,12,8,6,6,6.05,54.7
2021-01-17,Singapore,APAC,19,1,8,8,11,7,10,5.68,62.09
2021-01-17,UK,EU,7,1,0,4,3,2,2,5.86,57.33
2021-01-18,Australia,APAC,24,5,8,11,13,8,10,5.62,60.54
2021-01-18,Germany,EU,17,3,1,11,6,7,5,5.53,59.86
2021-01-18,India,APAC,23,1,10,13,10,12,10,5.74,56.64
