Activity_ID,Ticket_Number,Activity_Timestamp,Activity_Type,Owner_Group,Reassignment_Flag
ACT000000001,PRB0000000006,2021-03-01 23:00:00,Assigned to Support,Vendor,No
ACT000000002,PRB0000000006,2021-03-02 20:00:00,Assigned to Support,L3 Support,No
ACT000000003,PRB0000000006,2021-03-03 09:00:00,Assigned to Support,Vendor,No
ACT000000004,PRB0000000006,2021-03-04 04:00:00,Work In Progress,L2 Support,Yes
ACT000000005,PRB0000000014,2021-03-10 21:00:00,Waiting for User,Network Team,No
ACT000000006,PRB0000000014,2021-03-11 06:00:00,Reopened,L3 Support,No
ACT000000007,PRB0000000014,2021-03-11 13:00:00,Ticket Created,L1 Support,No
ACT000000008,PRB0000000014,2021-03-11 17:00:00,Work In Progress,Network Team,No
ACT000000009,PRB0000000024,2021-03-20 14:00:00,Assigned to Support,L1 Support,No
ACT000000010,PRB0000000024,2021-03-21 03:00:00,Work In Progress,App Team,No
ACT000000011,PRB0000000024,2021-03-21 07:00:00,Assigned to Support,Network Team,No
ACT000000012,PRB0000000024,2021-03-21 15:00:00,Waiting for User,Vendor,No
ACT000000013,PRB0000000024,2021-03-21 21:00:00,Reopened,L3 Support,No
ACT000000014,CHG0000000028,2021-03-29 21:00:00,Assigned to Support,Network Team,No
ACT000000015,CHG0000000028,2021-03-30 04:00:00,Waiting for User,App Team,No
ACT000000016,CHG0000000028,2021-03-30 07:00:00,Assigned to Support,L3 Support,No
ACT000000017,CHG0000000028,2021-03-31 05:00:00,Work In Progress,L3 Support,No
ACT000000018,PRB0000000077,2021-03-05 23:00:00,Waiting for User,App Team,No
ACT000000019,PRB0000000077,2021-03-06 17:00:00,Waiting for Vendor,L1 Support,No
ACT000000020,PRB0000000178,2021-03-07 19:00:00,Assigned to Support,L2 Support,No
ACT000000021,PRB0000000178,2021-03-08 05:00:00,Ticket Created,L3 Support,No
ACT000000022,INC0000000247,2021-03-19 01:00:00,Work In Progress,L2 Support,No
ACT000000023,INC0000000247,2021-03-19 17:00:00,Ticket Created,L2 Support,No
ACT000000024,INC0000000247,2021-03-20 14:00:00,Waiting for User,App Team,No
ACT000000025,INC0000000247,2021-03-20 16:00:00,Waiting for User,Vendor,No
ACT000000026,INC0000000247,2021-03-21 14:00:00,Assigned to Support,Vendor,No
ACT000000027,INC0000000264,2021-03-07 05:00:00,Ticket Created,L1 Support,No
ACT000000028,INC0000000264,2021-03-08 01:00:00,Assigned to Support,L1 Support,No
ACT000000029,INC0000000264,2021-03-08 16:00:00,Work In Progress,Vendor,No
ACT000000030,INC0000000264,2021-03-08 20:00:00,Assigned to Support,App Team,No
ACT000000031,INC0000000273,2021-03-05 06:00:00,Waiting for User,L3 Support,No
ACT000000032,INC0000000273,2021-03-05 16:00:00,Work In Progress,L2 Support,No
ACT000000033,INC0000000273,2021-03-05 19:00:00,Reopened,L3 Support,Yes
ACT000000034,INC0000000298,2021-03-16 12:00:00,Waiting for User,L1 Support,No
ACT000000035,INC0000000298,2021-03-16 17:00:00,Closed,Vendor,No
ACT000000036,INC0000000298,2021-03-17 00:00:00,Work In Progress,L1 Support,No
ACT000000037,INC0000000298,2021-03-17 09:00:00,Waiting for User,L2 Support,No
ACT000000038,INC0000000298,2021-03-17 11:00:00,Assigned to Support,L2 Support,No
ACT000000039,REQ0000000355,2021-03-14 21:00:00,Ticket Created,L2 Support,No
ACT000000040,REQ0000000355,2021-03-15 14:00:00,Assigned to Support,Network Team,No
ACT000000041,REQ0000000355,2021-03-16 07:00:00,Waiting for User,Vendor,No
ACT000000042,REQ0000000355,2021-03-17 02:00:00,Work In Progress,L2 Support,No
ACT000000043,REQ0000000429,2021-03-21 03:00:00,Assigned to Support,L2 Support,No
ACT000000044,REQ0000000429,2021-03-21 22:00:00,Waiting for User,L3 Support,No
ACT000000045,REQ0000000429,2021-03-21 23:00:00,Reopened,Network Team,No
ACT000000046,REQ0000000429,2021-03-22 14:00:00,Waiting for Vendor,Network Team,No
ACT000000047,PRB0000000463,2021-03-09 03:00:00,Waiting for Vendor,App Team,No
ACT000000048,PRB0000000463,2021-03-09 17:00:00,Ticket Created,Network Team,Yes
ACT000000049,PRB0000000463,2021-03-10 06:00:00,Assigned to Support,Vendor,No
ACT000000050,PRB0000000463,2021-03-11 02:00:00,Closed,L1 Support,No
ACT000000051,PRB0000000463,2021-03-11 22:00:00,Closed,Network Team,No
ACT000000052,REQ0000000490,2021-03-04 03:00:00,Resolved,L2 Support,No
ACT000000053,REQ0000000490,2021-03-05 02:00:00,Waiting for User,L2 Support,No
ACT000000054,REQ0000000490,2021-03-05 14:00:00,Assigned to Support,L1 Support,No
ACT000000055,INC0000000492,2021-03-29 01:00:00,Assigned to Support,L2 Support,No
ACT000000056,INC0000000492,2021-03-29 04:00:00,Work In Progress,L2 Support,No
ACT000000057,INC0000000492,2021-03-29 21:00:00,Work In Progress,L2 Support,No
ACT000000058,PRB0000000561,2021-04-01 11:00:00,Assigned to Support,L1 Support,No
ACT000000059,PRB0000000561,2021-04-01 12:00:00,Assigned to Support,L1 Support,Yes
ACT000000060,PRB0000000561,2021-04-01 16:00:00,Ticket Created,App Team,No
ACT000000061,PRB0000000561,2021-04-02 12:00:00,Resolved,App Team,No
ACT000000062,PRB0000000561,2021-04-02 22:00:00,Work In Progress,L3 Support,No
ACT000000063,PRB0000000604,2021-03-01 23:00:00,Assigned to Support,L1 Support,No
ACT000000064,PRB0000000604,2021-03-02 01:00:00,Work In Progress,App Team,No
ACT000000065,PRB0000000604,2021-03-02 10:00:00,Closed,L3 Support,No
ACT000000066,REQ0000000751,2021-03-30 02:00:00,Assigned to Support,L1 Support,No
ACT000000067,REQ0000000751,2021-03-30 16:00:00,Work In Progress,Network Team,No
ACT000000068,REQ0000000751,2021-03-30 18:00:00,Assigned to Support,Network Team,No
ACT000000069,REQ0000000751,2021-03-31 11:00:00,Waiting for User,Vendor,No
ACT000000070,PRB0000000787,2021-03-04 23:00:00,Work In Progress,L1 Support,No
ACT000000071,PRB0000000787,2021-03-05 20:00:00,Assigned to Support,L3 Support,No
