Activity_ID,Ticket_Number,Activity_Timestamp,Activity_Type,Owner_Group,Reassignment_Flag
ACT000000001,REQ0000000015,2021-02-03 18:00:00,Ticket Created,Vendor,No
ACT000000002,REQ0000000015,2021-02-04 02:00:00,Work In Progress,L3 Support,No
ACT000000003,REQ0000000026,2021-02-08 21:00:00,Waiting for Vendor,L3 Support,No
ACT000000004,REQ0000000026,2021-02-09 18:00:00,Work In Progress,App Team,No
ACT000000005,REQ0000000026,2021-02-10 10:00:00,Closed,L2 Support,No
ACT000000006,REQ0000000026,2021-02-10 21:00:00,Work In Progress,App Team,No
ACT000000007,REQ0000000026,2021-02-11 15:00:00,Closed,Network Team,No
ACT000000008,PRB0000000034,2021-02-17 09:00:00,Work In Progress,App Team,No
ACT000000009,PRB0000000034,2021-02-17 14:00:00,Assigned to Support,App Team,Yes
ACT000000010,PRB0000000034,2021-02-18 06:00:00,Waiting for User,Network Team,Yes
ACT000000011,PRB0000000034,2021-02-19 02:00:00,Work In Progress,L3 Support,No
ACT000000012,PRB0000000034,2021-02-19 05:00:00,Waiting for User,App Team,No
ACT000000013,CHG0000000036,2021-02-26 07:00:00,Work In Progress,L3 Support,No
ACT000000014,CHG0000000036,2021-02-27 00:00:00,Work In Progress,L1 Support,No
ACT000000015,CHG0000000036,2021-02-27 05:00:00,Waiting for Vendor,L3 Support,No
ACT000000016,CHG0000000036,2021-02-27 10:00:00,Ticket Created,Vendor,No
ACT000000017,PRB0000000103,2021-02-15 16:00:00,Ticket Created,L1 Support,No
ACT000000018,PRB0000000103,2021-02-15 22:00:00,Ticket Created,L2 Support,No
ACT000000019,PRB0000000103,2021-02-16 01:00:00,Work In Progress,Vendor,No
ACT000000020,PRB0000000103,2021-02-16 15:00:00,Assigned to Support,App Team,No
ACT000000021,REQ0000000107,2021-02-03 15:00:00,Reopened,L3 Support,No
ACT000000022,REQ0000000107,2021-02-03 23:00:00,Assigned to Support,L2 Support,No
ACT000000023,CHG0000000395,2021-02-20 07:00:00,Waiting for Vendor,App Team,No
ACT000000024,CHG0000000395,2021-02-21 02:00:00,Work In Progress,Vendor,No
ACT000000025,INC0000000569,2021-02-24 20:00:00,Ticket Created,L1 Support,No
ACT000000026,INC0000000569,2021-02-25 05:00:00,Assigned to Support,Vendor,No
ACT000000027,INC0000000569,2021-02-25 12:00:00,Assigned to Support,App Team,No
ACT000000028,INC0000000569,2021-02-26 08:00:00,Assigned to Support,Network Team,No
ACT000000029,INC0000000665,2021-02-20 05:00:00,Work In Progress,App Team,No
ACT000000030,INC0000000665,2021-02-20 06:00:00,Ticket Created,L3 Support,No
ACT000000031,INC0000000665,2021-02-20 08:00:00,Ticket Created,L3 Support,No
ACT000000032,INC0000000665,2021-02-20 13:00:00,Work In Progress,L1 Support,No
ACT000000033,INC0000000807,2021-02-27 04:00:00,Assigned to Support,L1 Support,Yes
ACT000000034,INC0000000807,2021-02-28 01:00:00,Work In Progress,Vendor,No
ACT000000035,INC0000000807,2021-02-28 23:00:00,Waiting for User,Network Team,No
ACT000000036,INC0000000807,2021-03-01 18:00:00,Closed,Vendor,No
ACT000000037,INC0000000807,2021-03-02 05:00:00,Ticket Created,L2 Support,No
ACT000000038,INC0000000831,2021-02-13 04:00:00,Waiting for User,Vendor,No
ACT000000039,INC0000000831,2021-02-13 22:00:00,Resolved,Network Team,No
ACT000000040,INC0000000831,2021-02-14 12:00:00,Waiting for Vendor,L1 Support,No
ACT000000041,PRB0000000868,2021-02-25 00:00:00,Assigned to Support,App Team,No
ACT000000042,PRB0000000868,2021-02-25 22:00:00,Work In Progress,App Team,No
ACT000000043,PRB0000000868,2021-02-26 00:00:00,Closed,Vendor,No
ACT000000044,PRB0000000868,2021-02-26 21:00:00,Work In Progress,L3 Support,No
ACT000000045,REQ0000000906,2021-02-18 14:00:00,Waiting for User,L3 Support,No
ACT000000046,REQ0000000906,2021-02-18 17:00:00,Assigned to Support,App Team,No
ACT000000047,REQ0000000906,2021-02-18 23:00:00,Work In Progress,App Team,No
ACT000000048,REQ0000000906,2021-02-19 01:00:00,Resolved,Network Team,No
ACT000000049,REQ0000000906,2021-02-19 18:00:00,Waiting for User,Network Team,No
ACT000000050,CHG0000000918,2021-02-20 11:00:00,Work In Progress,L3 Support,No
ACT000000051,CHG0000000918,2021-02-20 19:00:00,Resolved,L2 Support,No
ACT000000052,CHG0000000918,2021-02-21 11:00:00,Assigned to Support,L2 Support,No
ACT000000053,INC0000001022,2021-02-08 17:00:00,Ticket Created,Vendor,No
ACT000000054,INC0000001022,2021-02-08 21:00:00,Waiting for Vendor,Vendor,Yes
ACT000000055,PRB0000001029,2021-02-19 13:00:00,Work In Progress,App Team,No
ACT000000056,PRB0000001029,2021-02-19 14:00:00,Waiting for User,Vendor,No
ACT000000057,PRB0000001029,2021-02-20 05:00:00,Ticket Created,L1 Support,No
ACT000000058,INC0000001112,2021-02-05 03:00:00,Waiting for User,L1 Support,No
ACT000000059,INC0000001112,2021-02-05 10:00:00,Ticket Created,L2 Support,No
ACT000000060,INC0000001112,2021-02-05 14:00:00,Assigned to Support,App Team,No
ACT000000061,INC0000001112,2021-02-05 20:00:00,Assigned to Support,L2 Support,No
ACT000000062,REQ0000001158,2021-02-09 08:00:00,Ticket Created,Vendor,No
ACT000000063,REQ0000001158,2021-02-09 22:00:00,Assigned to Support,Vendor,No
ACT000000064,REQ0000001158,2021-02-10 14:00:00,Ticket Created,Vendor,No
ACT000000065,REQ0000001158,2021-02-10 21:00:00,Assigned to Support,L3 Support,Yes
ACT000000066,PRB0000001239,2021-02-19 06:00:00,Assigned to Support,App Team,No
ACT000000067,PRB0000001239,2021-02-20 00:00:00,Assigned to Support,App Team,Yes
ACT000000068,PRB0000001239,2021-02-20 01:00:00,Assigned to Support,L2 Support,No
ACT000000069,REQ0000001262,2021-02-26 05:00:00,Work In Progress,Network Team,No
ACT000000070,REQ0000001262,2021-02-27 01:00:00,Resolved,L1 Support,No
ACT000000071,REQ0000001262,2021-02-27 19:00:00,Work In Progress,L3 Support,No
ACT000000072,INC0000001366,2021-02-10 04:00:00,Waiting for User,L2 Support,No
ACT000000073,INC0000001366,2021-02-10 15:00:00,Waiting for User,Vendor,No
ACT000000074,CHG0000001381,2021-02-22 00:00:00,Waiting for User,Network Team,No
ACT000000075,CHG0000001381,2021-02-22 18:00:00,Assigned to Support,L3 Support,No
ACT000000076,CHG0000001381,2021-02-23 15:00:00,Reopened,Vendor,No
ACT000000077,CHG0000001381,2021-02-24 05:00:00,Work In Progress,Network Team,No
ACT000000078,REQ0000001608,2021-02-28 04:00:00,Assigned to Support,Network Team,No
ACT000000079,REQ0000001608,2021-03-01 02:00:00,Waiting for Vendor,L2 Support,No
ACT000000080,REQ0000001608,2021-03-01 12:00:00,Assigned to Support,L3 Support,No
ACT000000081,REQ0000001608,2021-03-02 04:00:00,Assigned to Support,L1 Support,No
ACT000000082,REQ0000001608,2021-03-02 06:00:00,Resolved,L2 Support,No
ACT000000083,CHG0000001707,2021-02-06 00:00:00,Assigned to Support,Vendor,No
ACT000000084,CHG0000001707,2021-02-06 22:00:00,Work In Progress,L2 Support,No
ACT000000085,CHG0000001734,2021-02-06 02:00:00,Ticket Created,Network Team,No
ACT000000086,CHG0000001734,2021-02-06 06:00:00,Waiting for User,App Team,No
ACT000000087,CHG0000001752,2021-02-12 16:00:00,Ticket Created,App Team,No
ACT000000088,CHG0000001752,2021-02-12 22:00:00,Resolved,Network Team,Yes
ACT000000089,CHG0000001752,2021-02-13 07:00:00,Ticket Created,Network Team,No
ACT000000090,CHG0000001752,2021-02-13 15:00:00,Waiting for Vendor,L1 Support,No
ACT000000091,INC0000001756,2021-02-19 01:00:00,Work In Progress,Vendor,No
ACT000000092,INC0000001756,2021-02-19 07:00:00,Waiting for Vendor,L2 Support,No
ACT000000093,INC0000001756,2021-02-20 02:00:00,Resolved,App Team,No
ACT000000094,CHG0000001781,2021-02-25 03:00:00,Work In Progress,Vendor,No
ACT000000095,CHG0000001781,2021-02-25 16:00:00,Waiting for Vendor,Network Team,No
ACT000000096,CHG0000001781,2021-02-26 11:00:00,Waiting for Vendor,Vendor,No
ACT000000097,CHG0000001781,2021-02-27 08:00:00,Reopened,Vendor,No
ACT000000098,PRB0000001874,2021-02-21 03:00:00,Waiting for User,L2 Support,No
ACT000000099,PRB0000001874,2021-02-21 19:00:00,Waiting for Vendor,App Team,No
ACT000000100,PRB0000001896,2021-02-24 21:00:00,Work In Progress,Vendor,No
ACT000000101,PRB0000001896,2021-02-25 11:00:00,Waiting for User,L2 Support,No
ACT000000102,PRB0000001896,2021-02-25 17:00:00,Closed,Network Team,No
ACT000000103,PRB0000001896,2021-02-26 10:00:00,Assigned to Support,L1 Support,No
ACT000000104,REQ0000001932,2021-02-05 01:00:00,Work In Progress,L1 Support,No
ACT000000105,REQ0000001932,2021-02-05 03:00:00,Ticket Created,L2 Support,No
ACT000000106,REQ0000002053,2021-02-19 08:00:00,Assigned to Support,Network Team,No
ACT000000107,REQ0000002053,2021-02-19 10:00:00,Assigned to Support,Vendor,Yes
ACT000000108,REQ0000002053,2021-02-20 03:00:00,Waiting for Vendor,L3 Support,No
ACT000000109,REQ0000002060,2021-02-05 12:00:00,Work In Progress,L3 Support,No
ACT000000110,REQ0000002060,2021-02-06 11:00:00,Assigned to Support,L3 Support,No
ACT000000111,REQ0000002060,2021-02-06 23:00:00,Assigned to Support,L3 Support,No
ACT000000112,REQ0000002060,2021-02-07 04:00:00,Assigned to Support,L3 Support,No
ACT000000113,CHG0000002184,2021-02-22 11:00:00,Assigned to Support,L1 Support,No
ACT000000114,CHG0000002184,2021-02-22 17:00:00,Ticket Created,App Team,No
ACT000000115,CHG0000002184,2021-02-23 02:00:00,Ticket Created,L2 Support,No
ACT000000116,CHG0000002184,2021-02-23 08:00:00,Resolved,App Team,No
ACT000000117,CHG0000002240,2021-02-11 06:00:00,Resolved,Network Team,No
ACT000000118,CHG0000002240,2021-02-11 21:00:00,Assigned to Support,App Team,No
ACT000000119,CHG0000002270,2021-02-05 18:00:00,Assigned to Support,L3 Support,No
ACT000000120,CHG0000002270,2021-02-05 22:00:00,Waiting for User,Network Team,No
